Date,Open,High,Low,Close,Adj_Close,Volume
1/16/2019,18.08,19.040001,17.76,19.040001,19.040001,0
1/17/2019,19.51,19.719999,17.85,18.059999,18.059999,0
1/18/2019,17.799999,18.18,17.17,17.799999,17.799999,0
1/22/2019,18.530001,21.15,18.200001,20.799999,20.799999,0
1/23/2019,20.85,22.02,19.469999,19.52,19.52,0
1/24/2019,19.690001,20.25,18.629999,18.889999,18.889999,0
1/25/2019,18.43,18.459999,17.309999,17.42,17.42,0
1/28/2019,18.559999,20.42,18.42,18.870001,18.870001,0
1/29/2019,19.450001,19.93,18.42,19.129999,19.129999,0
1/30/2019,19.15,19.309999,17.540001,17.66,17.66,0
1/31/2019,17.389999,17.719999,16.540001,16.57,16.57,0
2/1/2019,16.629999,16.83,16.08,16.139999,16.139999,0
2/4/2019,16.719999,16.73,15.6,15.73,15.73,0
2/5/2019,15.79,15.94,15.04,15.57,15.57,0
2/6/2019,15.44,15.87,15.09,15.38,15.38,0
2/7/2019,15.66,17.889999,15.51,16.370001,16.370001,0
2/8/2019,16.809999,17.629999,15.62,15.72,15.72,0
2/11/2019,16.17,16.5,15.34,15.97,15.97,0
2/12/2019,15.23,15.65,14.95,15.43,15.43,0
2/13/2019,15.46,15.91,15,15.65,15.65,0
2/14/2019,15.61,17.27,15.3,16.219999,16.219999,0
2/15/2019,16.82,16.82,14.79,14.91,14.91,0
2/19/2019,15.65,16.16,14.64,14.88,14.88,0
2/20/2019,14.92,15.19,13.99,14.02,14.02,0
2/21/2019,14,15.17,13.85,14.46,14.46,0
2/22/2019,14.46,14.47,13.51,13.51,13.51,0
2/25/2019,13.91,14.9,13.44,14.85,14.85,0
2/26/2019,15.16,15.28,14.52,15.17,15.17,0
2/27/2019,15.53,16.17,14.7,14.7,14.7,0
2/28/2019,15.17,15.24,14.39,14.78,14.78,0
3/1/2019,14.57,14.84,13.41,13.57,13.57,0
3/4/2019,13.77,16.98,13.38,14.63,14.63,0
3/5/2019,14.52,15.39,14.26,14.74,14.74,0
3/6/2019,14.91,16.110001,14.74,15.74,15.74,0
3/7/2019,16.33,17.809999,15.54,16.59,16.59,0
3/8/2019,17.379999,18.33,16.02,16.049999,16.049999,0
3/11/2019,16.280001,16.43,14.33,14.33,14.33,0
3/12/2019,13.97,14.7,13.61,13.77,13.77,0
3/13/2019,14,14.05,13.25,13.41,13.41,0
3/14/2019,13.35,13.84,13.16,13.5,13.5,0
3/15/2019,13.21,13.28,12.5,12.88,12.88,0
3/18/2019,13.13,13.8,13,13.1,13.1,0
3/19/2019,12.89,13.77,12.37,13.56,13.56,0
3/20/2019,13.54,14.3,13.05,13.91,13.91,0
3/21/2019,14.11,14.56,13.26,13.63,13.63,0
3/22/2019,13.77,17.52,13.62,16.48,16.48,0
3/25/2019,17.76,17.85,16.26,16.33,16.33,0
3/26/2019,16.219999,16.299999,14.67,14.68,14.68,0
3/27/2019,14.52,16.709999,14.51,15.15,15.15,0
3/28/2019,15.38,15.62,14.41,14.43,14.43,0
3/29/2019,14.19,14.43,13.64,13.71,13.71,0
4/1/2019,13.9,14.01,13.32,13.4,13.4,0
4/2/2019,13.62,13.68,13.13,13.36,13.36,0
4/3/2019,13.06,14.27,12.85,13.74,13.74,0
4/4/2019,13.84,14.03,13.4,13.58,13.58,0
4/5/2019,13.46,13.47,12.17,12.82,12.82,0
4/8/2019,13.55,13.77,13.1,13.18,13.18,0
4/9/2019,13.46,14.39,13.31,14.28,14.28,0
4/10/2019,14.09,14.29,13.27,13.3,13.3,0
4/11/2019,13.37,13.58,12.91,13.02,13.02,0
4/12/2019,12.96,12.96,11.95,12.01,12.01,0
4/15/2019,12.46,13.14,12.24,12.32,12.32,0
4/16/2019,12.26,12.47,11.85,12.18,12.18,0
4/17/2019,12.12,13.02,11.03,12.6,12.6,0
4/18/2019,12.8,13.12,12.02,12.09,12.09,0
4/22/2019,13.21,13.36,12.38,12.42,12.42,0
4/23/2019,12.66,12.69,12.08,12.28,12.28,0
4/24/2019,12.53,13.23,12.26,13.14,13.14,0
4/25/2019,13.29,14.3,12.81,13.25,13.25,0
4/26/2019,13.44,13.62,12.49,12.73,12.73,0
4/29/2019,13.04,13.27,12.65,13.11,13.11,0
4/30/2019,13.11,14.05,12.88,13.12,13.12,0
5/1/2019,12.86,14.83,12.74,14.8,14.8,0
5/2/2019,14.35,15.92,13.8,14.42,14.42,0
5/3/2019,14.11,14.15,12.8,12.87,12.87,0
5/6/2019,12.89,18.799999,12.89,15.44,15.44,0
5/7/2019,15.9,21.84,15.8,19.32,19.32,0
5/8/2019,18.950001,21.74,18.290001,19.4,19.4,0
5/9/2019,21.4,23.379999,18.870001,19.1,19.1,0
5/10/2019,18.790001,20.190001,15.57,16.040001,16.040001,0
5/13/2019,18.620001,21.32,18.35,20.549999,20.549999,0
5/14/2019,19.4,19.65,17.450001,18.059999,18.059999,0
5/15/2019,17.57,19.15,16.41,16.440001,16.440001,0
5/16/2019,16.690001,17.129999,15.16,15.29,15.29,0
5/17/2019,15.89,16.809999,14.86,15.96,15.96,0
5/20/2019,15.88,17.629999,15.46,16.309999,16.309999,0
5/21/2019,15.86,16.219999,14.79,14.95,14.95,0
5/22/2019,15.06,15.44,14.42,14.75,14.75,0
5/23/2019,15.93,18.049999,15.28,16.92,16.92,0
5/24/2019,16.34,16.52,15.52,15.85,15.85,0
5/28/2019,16.549999,17.700001,15.9,17.5,17.5,0
5/29/2019,18.549999,19.040001,17.620001,17.9,17.9,0
5/30/2019,17.469999,18.110001,16.719999,17.299999,17.299999,0
5/31/2019,19.049999,19.719999,18.01,18.709999,18.709999,0
6/3/2019,19.41,19.75,18.16,18.860001,18.860001,0
6/4/2019,18.74,18.74,16.969999,16.969999,16.969999,0
6/5/2019,17.059999,17.49,16.040001,16.09,16.09,0
6/6/2019,16.25,16.540001,15.36,15.93,15.93,0
6/7/2019,15.65,16.440001,15.33,16.299999,16.299999,0
6/10/2019,16.299999,16.469999,15.84,15.94,15.94,0
6/11/2019,15.84,16.700001,15.5,15.99,15.99,0
6/12/2019,16.26,16.43,15.78,15.91,15.91,0
6/13/2019,16.16,16.209999,15.61,15.82,15.82,0
6/14/2019,16,16.4,15.21,15.28,15.28,0
6/17/2019,15.65,15.76,15.24,15.35,15.35,0
6/18/2019,14.89,15.54,14.62,15.15,15.15,0
6/19/2019,15.05,15.71,14.15,14.33,14.33,0
6/20/2019,14.04,16.030001,13.19,14.75,14.75,0
6/21/2019,14.74,15.48,14.42,15.4,15.4,0
6/24/2019,15.46,15.56,15.23,15.26,15.26,0
6/25/2019,15.43,16.68,15.1,16.280001,16.280001,0
6/26/2019,16.1,16.6,15.47,16.209999,16.209999,0
6/27/2019,15.66,16.4,15.66,15.82,15.82,0
6/28/2019,15.7,16.129999,15.08,15.08,15.08,0
7/1/2019,13.85,14.64,13.8,14.06,14.06,0
7/2/2019,14.16,14.3,12.9,12.93,12.93,0
7/3/2019,13.18,13.19,12.56,12.57,12.57,0
7/5/2019,13,14.47,12.04,13.28,13.28,0
7/8/2019,13.73,14.44,13.64,13.96,13.96,0
7/9/2019,14.47,14.71,13.99,14.09,14.09,0
7/10/2019,14.38,14.69,12.98,13.03,13.03,0
7/11/2019,13.01,13.33,12.39,12.93,12.93,0
7/12/2019,12.76,12.82,12.28,12.39,12.39,0
7/15/2019,12.58,13.02,12.49,12.68,12.68,0
7/16/2019,12.61,13.14,12.28,12.86,12.86,0
7/17/2019,12.62,13.97,12.24,13.97,13.97,0
7/18/2019,14.45,14.5,13.19,13.53,13.53,0
7/19/2019,13.31,14.45,13.09,14.45,14.45,0
7/22/2019,14.55,14.7,13.42,13.53,13.53,0
7/23/2019,13.42,13.52,12.55,12.61,12.61,0
7/24/2019,12.8,13.1,11.98,12.07,12.07,0
7/25/2019,12.24,13.54,11.69,12.74,12.74,0
7/26/2019,12.58,12.72,12.01,12.16,12.16,0
7/29/2019,12.15,13.17,12.15,12.83,12.83,0
7/30/2019,12.87,14.18,12.87,13.94,13.94,0
7/31/2019,13.83,16.549999,13.46,16.120001,16.120001,0
8/1/2019,15.41,19.459999,13.73,17.870001,17.870001,0
8/2/2019,17.690001,20.110001,17.040001,17.610001,17.610001,0
8/5/2019,19.959999,24.809999,19.91,24.59,24.59,0
8/6/2019,22.290001,22.870001,19.77,20.17,20.17,0
8/7/2019,20.700001,23.67,18.940001,19.49,19.49,0
8/8/2019,19.360001,19.889999,16.82,16.91,16.91,0
8/9/2019,18.139999,19.440001,17.309999,17.969999,17.969999,0
8/12/2019,17.870001,21.26,17.77,21.09,21.09,0
8/13/2019,21.280001,21.639999,17.52,17.52,17.52,0
8/14/2019,17.809999,22.709999,17.75,22.1,22.1,0
8/15/2019,21.58,24.1,20.780001,21.18,21.18,0
8/16/2019,20.48,20.5,18.41,18.469999,18.469999,0
8/19/2019,17.93,18.219999,16.52,16.879999,16.879999,0
8/20/2019,16.780001,17.700001,16.450001,17.5,17.5,0
8/21/2019,17.01,17.040001,15.51,15.8,15.8,0
8/22/2019,16.120001,17.68,15.63,16.68,16.68,0
8/23/2019,16.15,21.07,16.040001,19.870001,19.870001,0
8/26/2019,20.34,21.33,19.059999,19.32,19.32,0
8/27/2019,20.18,21.040001,18.49,20.309999,20.309999,0
8/28/2019,20.549999,21.639999,19.1,19.35,19.35,0
8/29/2019,19.02,19.200001,17.6,17.879999,17.879999,0
8/30/2019,17.940001,19.18,17.09,18.98,18.98,0
9/3/2019,20.959999,21.15,19.41,19.66,19.66,0
9/4/2019,18.23,18.83,17.26,17.33,17.33,0
9/5/2019,16.92,17.049999,15.45,16.27,16.27,0
9/6/2019,15.92,16.059999,14.91,15,15,0
9/9/2019,15.26,16.129999,14.95,15.27,15.27,0
9/10/2019,15.53,16.52,15.11,15.2,15.2,0
9/11/2019,15.33,15.52,14.55,14.61,14.61,0
9/12/2019,14.69,14.94,13.85,14.22,14.22,0
9/13/2019,14.16,14.31,13.51,13.74,13.74,0
9/16/2019,14.89,15.29,14.5,14.67,14.67,0
9/17/2019,14.92,15.03,14.4,14.44,14.44,0
9/18/2019,14.61,15.8,13.8,13.95,13.95,0
9/19/2019,14.66,14.66,13.31,14.05,14.05,0
9/20/2019,13.94,15.84,13.35,15.32,15.32,0
9/23/2019,15.35,16,14.71,14.91,14.91,0
9/24/2019,14.77,17.620001,14.33,17.049999,17.049999,0
9/25/2019,17.049999,18.450001,15.69,15.96,15.96,0
9/26/2019,16.23,17.09,15.35,16.07,16.07,0
9/27/2019,15.77,18.690001,15.15,17.219999,17.219999,0
9/30/2019,17.23,17.35,16.200001,16.24,16.24,0
10/1/2019,16.02,18.620001,15.79,18.559999,18.559999,0
10/2/2019,18.75,21.459999,18.75,20.559999,20.559999,0
10/3/2019,20.110001,21.440001,19.030001,19.120001,19.120001,0
10/4/2019,19.42,19.969999,16.969999,17.040001,17.040001,0
10/7/2019,18.27,18.52,16.440001,17.860001,17.860001,0
10/8/2019,17.610001,20.379999,17.42,20.280001,20.280001,0
10/9/2019,19.940001,20,17.77,18.639999,18.639999,0
10/10/2019,19.280001,19.799999,17.559999,17.57,17.57,0
10/11/2019,17.35,17.440001,15.11,15.58,15.58,0
10/14/2019,15.66,16.5,14.51,14.57,14.57,0
10/15/2019,13.94,14.43,13.39,13.54,13.54,0
10/16/2019,13.94,14.26,13.6,13.68,13.68,0
10/17/2019,13.79,14.18,13.31,13.79,13.79,0
10/18/2019,14.2,15.16,13.78,14.25,14.25,0
10/21/2019,14.24,14.63,14,14,14,0
10/22/2019,13.99,14.61,13.7,14.46,14.46,0
10/23/2019,14.83,15.12,14.01,14.01,14.01,0
10/24/2019,13.98,14.34,13.4,13.71,13.71,0
10/25/2019,13.53,13.79,12.62,12.65,12.65,0
10/28/2019,13.01,13.14,12.66,13.11,13.11,0
10/29/2019,13.16,13.52,13.07,13.2,13.2,0
10/30/2019,13.08,13.37,12.27,12.33,12.33,0
10/31/2019,13.51,13.95,13.18,13.22,13.22,0
11/1/2019,12.5,12.6,12.26,12.3,12.3,0
11/4/2019,12.68,13.13,12.44,12.83,12.83,0
11/5/2019,12.85,13.28,12.25,13.1,13.1,0
11/6/2019,13.18,13.39,12.6,12.62,12.62,0
11/7/2019,12.59,12.89,12.26,12.73,12.73,0
11/8/2019,12.98,13.05,12,12.07,12.07,0
11/11/2019,13.15,13.49,12.66,12.69,12.69,0
11/12/2019,12.64,13.1,12.36,12.68,12.68,0
11/13/2019,12.91,13.9,12.88,13,13,0
11/14/2019,13.16,13.81,12.93,13.05,13.05,0
11/15/2019,12.95,12.97,11.92,12.05,12.05,0
11/18/2019,12.39,13.1,12.32,12.46,12.46,0
11/19/2019,12.33,13.01,12.16,12.86,12.86,0
11/20/2019,13.42,14.17,12.61,12.78,12.78,0
11/21/2019,13.35,13.86,12.49,13.13,13.13,0
11/22/2019,12.82,13.25,12.33,12.34,12.34,0
11/25/2019,12.51,12.59,11.73,11.87,11.87,0
11/26/2019,11.88,12.04,11.42,11.54,11.54,0
11/27/2019,11.55,11.79,11.44,11.75,11.75,0
